zipcode,street_address,city,store_name,store_no,zip_state,distance
8759,1053 Highway 70,Manchester,Manchester Township Lowe's,2428,NJ,20.7
8691,1000 Marketplace Boulevard,Hamilton,Hamilton Lowe's,1046,NJ,19.9
8540,3504 BRUNSWICK PIKE,Princeton,W. Windsor Lowe's,1185,NJ,22.1
11422,253-01 Rockaway Blvd,Rosedale,Rosedale Lowe's,2664,NY,21
18321,5027 Windsor Drive,Bartonsville,Stroudsburg Lowe's,2252,PA,31.9
18344,3207 Route 940,Mount Pocono,MT. Pocono Lowe's,1934,PA,32.7
8865,1325 U.S. Route 22,Phillipsburg,Phillipsburg Lowe's,1590,NJ,10.9
18045,4443 Birkland Place,Easton,Easton Lowe's,1759,PA,16.2
18018,1235 Martin Court,Bethlehem,Bethlehem Lowe's,1867,PA,21.7
18052,2650 Macarthur Road,Whitehall,Whitehall Township Lowe's,2763,PA,25.4
8052,2834 Route 73 North,Maple Shade,Maple Shade Lowe's,1637,NJ,2.8
8045,122 West Oak Avenue,Lawnside,Lawnside Lowe's,1149,NJ,4.8
8043,144 Route 73,Voorhees,Voorhees Lowe's,2389,NJ,5.1
8075,1331 FAIRVIEW BOULEVARD,Delran,Delran Lowe's,1670,NJ,8.2
8096,1480 Clements Bridge Road,Deptford,Deptford Lowe's,1542,NJ,9
19137,3800 Aramingo Avenue,Philadelphia,Philadelphia - Aramingo Aven Lowe's,2732,PA,9.6
19148,2106 S CHRISTOPHER COLUMBUS BLVD,Philadelphia,S. Philadelphia Lowe's,1849,PA,9.7
8048,"1520 ROUTE 38, BUILDING 10",Lumberton,MT. Holly Lowe's,1575,NJ,9.9
8081,485 CROSS KEYS ROAD,Sicklerville,Gloucester Township Lowe's,2630,NJ,10.7
8012,100 WATSON DRIVE,Turnersville,Turnersville Lowe's,751,NJ,12.2
8080,611 Woodbury Glassboro Road,Sewell,Mantua Township Lowe's,2402,NJ,4.4
19131,1500 North 50TH Street,Philadelphia,W. Philadelphia Lowe's,2378,PA,15.2
8050,"297 Route 72 WEST, Suite 30",Manahawkin,Manahawkin Lowe's,2260,NJ,9.4
8234,6048 Black Horse Pike,Egg Harbor Township,Egg Harbor Township Lowe's,1034,NJ,21.6
8332,113 Bluebird Lane,Millville,Millville Lowe's,1816,NJ,43.9
19114,9701 East Roosevelt BLVD.,Philadelphia,N.E. Philadelphia Lowe's,1848,PA,9.6
19047,1400 East Lincoln Highway,Langhorne,Middletown Township Lowe's,1572,PA,6.9
19053,3421 Horizon Boulevard,Trevose,Bensalem Lowe's,1980,PA,7.2
19090,4055 Welsh Road,Willow Grove,Upper Moreland Lowe's,1837,PA,16
19720,2225 Hessler Boulevard,New Castle,Wilmington Lowe's,2429,DE,15.2
19701,1030 EAST SONGSMITH DRIVE,Bear,Bear Lowe's,3168,DE,16.8
19709,500 West Main Street,Middletown,Middletown Lowe's,1571,DE,21
19711,2000 Ogletown Road,Newark,Newark Lowe's,2258,DE,21
19803,3100 Brandywine Pkwy 1ST Floor,Wilmington,N. Wilmington Lowe's,622,DE,21.2
19015,5005 EDGMONT AVE,Brookhaven,Brookhaven Lowe's,3277,PA,22.2
19083,116 West Township Line RD.,Havertown,Havertown Lowe's,3169,PA,9.8
19311,561 Hepburn Road,Avondale,Avondale Lowe's,2405,PA,19.6
19901,1450 N. Dupont Highway,Dover,Dover Lowe's,587,DE,22.3
21901,425 Mauldin Avenue,North East,North East Lowe's,2848,MD,27
8242,3171 Route 9 South,Rio Grande,Cape May Lowe's,1861,NJ,34.8
19958,20364 Plantations Road,Lewes,Sussex County Lowe's,658,DE,20.1
19934,516 Walmart Drive,Camden,Camden Lowe's,2537,DE,33.1
19966,26688 Centerview Drive,Millsboro,Millsboro Lowe's,2795,DE,33.6
19973,22880 Sussex Highway,Seaford,Seaford Lowe's,2248,DE,41.1
21801,2606 NORTH SALISBURY BLVD.,Salisbury,Salisbury Lowe's,424,MD,51.6
18976,425 EASTON ROAD,Warrington,Warrington Lowe's,735,PA,14.3
19446,630 Cowpath Road,Lansdale,Montgomeryville Lowe's,1669,PA,18.2
18951,1001 S. West End BLVD.,Quakertown,Quakertown Lowe's,1667,PA,19.2
19440,160 Forty Foot Road,Hatfield,Hatfield Township Lowe's,2706,PA,22.8
13350,182 Lowes Boulevard,Herkimer,Herkimer Lowe's,2400,NY,39.9
13502,710 Horatio Street,Utica,Utica Lowe's,523,NY,37.2
13413,4699 Middle Settlement Road,New Hartford,New Hartford Lowe's,2726,NY,42.2
13820,5283 State Highway 23,Oneonta,Oneonta Lowe's,1967,NY,35.6
13815,5411 State Highway 12,Norwich,Norwich Lowe's,2399,NY,44.8
13440,1230 Erie BLVD. West,Rome,Rome Lowe's,1865,NY,56.7
13901,1318 Upper Front Street,Binghamton,Binghamton Lowe's,1502,NY,52.5
13421,1200 LOWE'S Drive,Oneida,Oneida Lowe's,2289,NY,53.1
18519,901 VIEWMONT DR.,Dickson City,Scranton Lowe's,242,PA,44.7
13850,225 Sycamore RD.,Vestal,Vestal Lowe's,202,NY,53.8
18702,501 ARENA HUB PLAZA,Wilkes Barre,Wilkes-barre Lowe's,652,PA,51.6
18704,50 West Side Mall,Edwardsville,Edwardsville Lowe's,2412,PA,49.8
13601,"20828 New York STATE, Rte 3",Watertown,Watertown Lowe's,1022,NY,130.1
13031,5377 W Genesee Street,Camillus,Camillus Lowe's,2538,NY,0.6
13224,131 Simon Drive,Syracuse,Syracuse Lowe's,2380,NY,8.3
13090,3856 State Route 31,Liverpool,Clay Lowe's,2379,NY,9.5
13039,5701 East Circle Drive,Cicero,Cicero Lowe's,2541,NY,10.2
13021,299 Grant Avenue Rd,Auburn,Auburn Lowe's,561,NY,15.5
13126,445 State Route 104,Oswego,Oswego Lowe's,1908,NY,30.8
13045,872 Route 13,Cortland,Cortlandville Lowe's,1953,NY,32.8
14456,3030 Sessler Drive,Geneva,Waterloo Lowe's,2759,NY,36.5
14424,4200 Recreation Drive,Canandaigua,Canandaigua Lowe's,1817,NY,32
14850,130 Fairgrounds Memorial Pkwy,Ithaca,Ithaca Lowe's,1864,NY,34.8
14502,1605 Macedon Parkway,Macedon,Macedon Lowe's,2668,NY,40.8
14903,"913 County RD, Rt 64",Elmira,Big Flats Lowe's,530,NY,37.7
18840,2151 Elmira Street,Sayre,Sayre Lowe's,2385,PA,37.9
14580,900 Five Mile Line Road,Webster,Webster Lowe's,1581,NY,39.2
16933,2165 South Main Street,Mansfield,Mansfield Lowe's,2893,PA,37.4
17754,701 N LOYALSOCK AVE,Montoursville,Montoursville Lowe's,356,PA,59.6
14221,8150 Transit Road,Williamsville,E. Amherst Lowe's,1881,NY,23.2
14228,1659 Niagara Falls Blvd,Amherst,W. Amherst Lowe's,1883,NY,23.9
14127,3195 Southwestern Blvd,Orchard Park,Orchard Park Lowe's,1882,NY,36.7
14420,300 Owens Road,Brockport,Brockport Lowe's,2434,NY,37.6
14075,4950 Southwestern BLVD.,Hamburg,Hamburg Lowe's,2704,NY,40.6
14626,3150 West Ridge Road,Rochester,Greece Lowe's,1655,NY,47.7
14623,2350 Marketplace Drive,Rochester,Henrietta Lowe's,645,NY,54.1
14141,440 South Cascade Drive,Springville,Springville Lowe's,2453,NY,57.2
16365,2625 Market Street,Warren,Warren Lowe's,2614,PA,63.5
14843,949 State Route 36,Hornell,Hornell Lowe's,2444,NY,67.9
16509,1930 KEYSTONE DR. UNIT 2,Erie,Erie Lowe's,226,PA,65.8
16506,2305 Asbury Road,Erie,W. Erie Lowe's,1654,PA,69.3
44004,2416 Dillon Drive,Ashtabula,Ashtabula Lowe's,1519,OH,84.3
15801,100 COMMONS DRIVE,Du Bois,Du Bois Lowe's,1010,PA,72.2
16830,100 Lowes Boulevard,Clearfield,Clearfield Lowe's,2613,PA,73.3
17751,284 Hogan Boulevard,Mill Hall,Lock Haven Lowe's,2229,PA,68.7
16148,3000 GLIMCHER BLVD.,Hermitage,Hermitage Lowe's,139,PA,68.2
44484,940 NILES CORTLAND RD SE,Warren,Trumbull County Lowe's,244,OH,77.4
16101,2640 WEST STATE STREET,New Castle,Union Township Lowe's,1130,PA,79.8
15275,400 Davis BLVD.,Pittsburgh,Robinson Township Lowe's,1200,PA,13.4
15301,STRABANE SQ 355 WASHINGTON RD,Washington,Washington Lowe's,671,PA,13.6
43952,4115 MALL DRIVE,Steubenville,Steubenville Lowe's,44,OH,15.3
15106,2100 Washington Pike,Carnegie,Scott Township Lowe's,2417,PA,15.5
15102,5775 Baptist Road,Bethel Park,Bethel Park Lowe's,2247,PA,19.4
15122,1025 MOUNTAIN VIEW DRIVE,West Mifflin,West Mifflin Lowe's,3314,PA,22.9
15061,115 WAGNER RD.,Monaca,Monaca Lowe's,500,PA,23.8
15237,9051 St Simon Way,Pittsburgh,Mccandless Township Lowe's,3051,PA,24.5
15120,690 E WATERFRONT DR,Munhall,Homestead Lowe's,780,PA,25.8
26003,2801 Chapline Street,Wheeling,Wheeling Lowe's,2625,WV,27.1
15044,700 Grandview Crossing Road,Gibsonia,Richland Township Lowe's,2411,PA,3.2
15084,1005 Village Center Drive,Tarentum,N.E. Pittsburgh Lowe's,2219,PA,6
16066,1717 Route 228,Cranberry Township,Cranberry Township Lowe's,653,PA,11.2
15146,4200 William Penn Highway,Monroeville,Monroeville Lowe's,1660,PA,14.8
16001,500 MORAINE POINT PLAZA,Butler,Butler Lowe's,165,PA,17
15601,"HEMPFIELD SQUARE, RT. 30 W.",Greensburg,Greensburg Lowe's,180,PA,22.4
15012,203 SARAH WAY,Belle Vernon,Belle Vernon Lowe's,120,PA,0.6
15401,79 MATTHEW DRIVE,Uniontown,Uniontown Lowe's,187,PA,16.7
15650,200 Colony Lane,Latrobe,Latrobe Lowe's,1687,PA,27.3
44514,1100 DORAL DR.,Youngstown,Boardman Lowe's,188,OH,25.1
26508,901 Venture Drive,Morgantown,Morgantown Lowe's,567,WV,8.9
26501,9595 Mall Road,Morgantown,S. Morgantown Lowe's,1671,WV,9.4
26301,494 Emily Drive,Clarksburg,Clarksburg Lowe's,1641,WV,37.7
21550,7000 Lowes Drive,Oakland,Oakland Lowe's,2800,MD,38.9
43950,50421 VALLEY PLAZA DR,Saint Clairsville,ST. Clairsville Lowe's,110,OH,40.6
15501,1730 North Center Avenue,Somerset,Somerset Lowe's,1944,PA,25.6
21502,1211 NATIONAL HWY.,Lavale,Allegany Lowe's,468,MD,30.1
15904,630 SOLOMON RUN RD.,Johnstown,Johnstown Lowe's,175,PA,47.9
15701,475 BEN FRANKLIN RD. SOUTH,Indiana,Indiana Lowe's,197,PA,35.3
16602,1707 MCMAHON RD.,Altoona,Altoona Lowe's,446,PA,44.6
21740,1500 WESEL BLVD.,Hagerstown,Hagerstown Lowe's,471,MD,47.6
17202,1600 LINCOLN WAY E,Chambersburg,Chambersburg Lowe's,706,PA,47.7
25401,14725 APPLE HARVEST DRIVE,Martinsburg,Martinsburg Lowe's,627,WV,48.3
21742,12809 SHANK FARM WAY,Hagerstown,N. Hagerstown Lowe's,2357,MD,49.3
17268,12925 Washington Township Blvd,Waynesboro,Waynesboro Lowe's,2228,PA,39.4
17044,10472 Us Highway 522 South,Lewistown,Lewistown Lowe's,2216,PA,50
16803,104 Valley Vista Drive,State College,State College Lowe's,2355,PA,56.6
22602,261 MARKET ST,Winchester,N. Winchester Lowe's,2724,VA,53.6
22601,2200 S. PLEASANT VALLEY RD,Winchester,Winchester Lowe's,656,VA,54.5
17870,1389 NORTH SUSQUEHANNA TRAIL,Selinsgrove,Sunbury Lowe's,644,PA,73.5
44601,2595 WEST STATE ST,Alliance,Alliance Lowe's,297,OH,46
44241,1210 State Route 303,Streetsboro,Streetsboro Lowe's,1606,OH,48.1
44060,9600 Mentor Avenue,Mentor,Mentor Lowe's,1621,OH,53.2
44240,218 Nicholas Way,Kent,Brimfield Township Lowe's,2500,OH,46.8
44094,36300 Euclid Avenue,Willoughby,Willoughby Lowe's,1642,OH,54.5
44146,24500 MILES ROAD,Bedford Heights,Bedford Heights Lowe's,1023,OH,68.3
17013,850 East High Street,Carlisle,Carlisle Lowe's,1710,PA,45.6
17050,5500 CARLISLE PIKE,Mechanicsburg,Mechanicsburg Lowe's,2223,PA,57.1
17815,50 Lunger Drive,Bloomsburg,Bloomsburg Lowe's,1868,PA,57.7
17109,4000 UNION DEPOSIT RD.,Harrisburg,Harrisburg Lowe's,522,PA,54.2
17078,70 North Londonderry Square,Palmyra,Palmyra Lowe's,2584,PA,40.8
17042,1755 QUENTIN ROAD,Lebanon,Lebanon Lowe's,22,PA,8.7
17603,25 Rohrerstown Road,Lancaster,W. Lancaster Lowe's,1127,PA,20.1
17402,2449 E. MARKET ST,York,York Lowe's,415,PA,21.3
17601,1845 Hempstead Road,Lancaster,E. Lancaster Lowe's,2687,PA,23.2
17404,1175 Carlisle Road,York,W. York Lowe's,2409,PA,23.6
19608,2625 Shillington Road,Sinking Spring,S. Reading Lowe's,1717,PA,31.1
17331,310 EISENHOWER DR.,Hanover,Hanover Lowe's,628,PA,24
17901,PA RT 61 AND ANN STREET,Pottsville,Pottsville Lowe's,553,PA,33.5
19526,20 Wilderness Trail,Hamburg,Hamburg Lowe's,2894,PA,42.4
19605,500 MADISON AVENUE,Reading,Reading Lowe's,279,PA,27
19606,4535 Perkiomen Avenue,Reading,Exeter Township Lowe's,2819,PA,31.5
19520,340 Crossing Boulevard,Elverson,Morgantown Lowe's,2476,PA,22.6
21701,7850 Wormans Mill Road,Frederick,N. Frederick Lowe's,2826,MD,19.6
21704,5611 BUCKEYSTOWN PIKE,Frederick,Frederick Lowe's,516,MD,23.6
21157,777 MARKET STREET,Westminster,Westminster Lowe's,568,MD,28.8
21009,414 Constant Friendship Blvd,Abingdon,S. Bel Air Lowe's,2589,MD,30.8
21093,19 TEXAS STATION COURT,Timonium,Timonium Lowe's,720,MD,35.9
21234,1400 TAYLOR AVENUE,Parkville,Towson Lowe's,2995,MD,24.8
21236,5300 CAMPBELL BLVD.,Baltimore,White Marsh Lowe's,691,MD,25
21117,10280 MILL RUN CIRCLE,Owings Mills,Owings Mills Lowe's,3388,MD,28.8
21228,5900 BALTIMORE NATIONAL PIKE,Baltimore,Catonsville Lowe's,624,MD,33.5
19335,1250 Cornerstone Boulevard,Downingtown,East Caln Township Lowe's,1729,PA,21.4
19465,1136 Town Square Road,Pottstown,Pottstown Lowe's,1886,PA,21.9
18202,200 WEIS LANE,West Hazleton,Hazleton Lowe's,292,PA,55.5
18235,1204 Blakeslee Blvd DR. East,Lehighton,Lehighton Lowe's,2566,PA,39
19456,200-B Mill Road,Oaks,Oaks Lowe's,1047,PA,26.7
19462,2002 Chemical Road,Plymouth Meeting,Plymouth Meeting Lowe's,757,PA,18.7
21851,275 Newtown Boulevard,Pocomoke City,Pocomoke City Lowe's,2414,MD,41.4
21601,501 Glebe Road,Easton,Easton Lowe's,1982,MD,57.2
20619,45075 Worth Avenue,California,ST. Mary's County Lowe's,719,MD,52.3
20018,2438 MARKET STREET NE,Washington,Washington Lowe's,3256,DC,3.5
20784,7710 RIVERDALE ROAD,New Carrollton,New Carrollton Lowe's,1122,MD,8.4
22306,6750 RICHMOND HIGHWAY,Alexandria,Alexandria Lowe's,715,VA,10.4
20774,10440 CAMPUS WAY SOUTH,Upper Marlboro,Largo Lowe's,702,MD,10.6
20735,8755 Branch Avenue,Clinton,Clinton Lowe's,1136,MD,12.2
20707,14300 BALTIMORE AVENUE,Laurel,Laurel Lowe's,1188,MD,14.7
20716,16301 HERITAGE BLVD.,Bowie,Bowie Lowe's,452,MD,16.2
22030,4080 JERMANTOWN RD,Fairfax,Fairfax Lowe's,3274,VA,17.4
